userId,movieId,rating,timestamp
103,1512,3.5,1253517801
436,1155,4,1075721098
861,579,5,1364778244
271,1479,1.5,1316766393
107,740,1.5,1415371128
72,163,1,1480180689
701,1039,0.5,1104330296
21,1256,5,1236857048
615,195,3,1220910568
122,1885,3,1517364943
467,542,5,1036027875
215,359,4,1083215444
331,850,3,1434457207
459,1355,3,1284795791
88,427,0.5,1435368729
373,497,3.5,1120617201
100,828,3.5,1196319041
872,486,5,1039597832
664,1832,4.5,1470374020
131,1473,3.5,1296325998
662,1437,4,1496733639
309,330,2,1325896446
770,1756,4.5,1404784179
344,889,0.5,1056049992
492,991,4,1166738017
414,1171,1.5,1018124181
806,259,0.5,1387947476
386,292,1,1054608874
192,1835,3,1481518144
956,143,2.5,1492273558
277,1961,1.5,1335141106
161,747,4.5,1293463543
460,627,4,1404327173
314,1389,1.5,1178453203
22,90,1,1226469305
253,720,4,1088648857
748,1188,2.5,1303636974
857,481,4.5,1480109900
561,84,0.5,1453889201
475,1101,5,1498858890
59,673,1.5,1398578883
511,517,2.5,1440361761
682,485,1,1331007590
476,1614,1.5,1022962311
700,1627,2,1567147105
976,1623,2,1143909321
783,782,4.5,1117077688
190,104,0.5,1009543093
958,1476,4.5,1176129436
687,1511,4.5,1260484595
958,339,3,1274487527
563,687,0.5,1477456484
876,1590,3,1176075468
567,900,4,1049521146
244,1502,2.5,1361114157
832,1747,2.5,1541124943
505,607,0.5,1275341757
131,223,0.5,1186485469
485,1033,4,1172196283
819,1077,2.5,1197836917
647,1101,4,1346813344
21,1742,5,1191998674
841,503,1,1214139446
167,1340,2,1123881360
274,1838,5,1477404918
388,822,4.5,1580560500
601,1866,1.5,1069652955
316,624,3,1111056553
14,1887,3.5,1560313828
242,165,1.5,1060102012
777,1303,0.5,1530871266
346,1051,1,1549590298
565,1094,5,1298357421
898,1242,3.5,1245336702
340,1986,3.5,1563823795
92,1389,0.5,1420451264
367,1725,5,1343798694
956,1869,3.5,1381271535
455,1971,5,1178804305
428,1330,3,1338055151
509,1148,3,1436256710
776,19,3.5,1054360404
943,1281,3.5,1540427768
35,1320,0.5,1039498020
